Benchmark,cvc5+bmc-sp+ra,cvc5+bmc-sp+fp,cvc5+ind+ra,cvc5+ind+fp,cvc5+interp+ra,cvc5+interp+fp,cvc5+ismc+ra,cvc5+ismc+fp,cvc5+mbic3+ra,cvc5+mbic3+fp,cvc5+ic3ia+ra,cvc5+ic3ia+fp,cvc5+msat-ic3ia+ra,cvc5+msat-ic3ia+fp,msat+bmc-sp+ra,msat+bmc-sp+fp,msat+ind+ra,msat+ind+fp,msat+interp+ra,msat+interp+fp,msat+ismc+ra,msat+ismc+fp,msat+mbic3+ra,msat+mbic3+fp,msat+ic3ia+ra,msat+ic3ia+fp,msat+msat-ic3ia+ra,msat+msat-ic3ia+fp,bzla+bmc-sp+ra,bzla+bmc-sp+fp,bzla+ind+ra,bzla+ind+fp,bzla+interp+ra,bzla+interp+fp,bzla+ismc+ra,bzla+ismc+fp,bzla+mbic3+ra,bzla+mbic3+fp,bzla+ic3ia+ra,bzla+ic3ia+fp,bzla+msat-ic3ia+ra,bzla+msat-ic3ia+fp
PLL,1766,2278,max,1367,max,-,max,-,max,1110,max,1099,,,max,1241,max,639,max,-,max,-,35,731,47,703,max,-,,224,,220,,-,,-,,109,,-,,
current_src_prop0,max,max,31,435,95,-,79,-,max,max,243,-,,,max,max,67,134,76,-,64,-,max,max,170,-,118,max,,max,,66,,-,,-,,max,,-,,
current_src_prop1,max,max,30,303,45,-,103,-,-,max,105,-,,,max,max,52,50,50,-,70,-,max,max,83,-,68,max,,max,,47,,-,,-,,max,,-,,
diode,max,max,50,max,-,-,-,-,max,max,-,-,,,max,max,38,-,94,-,152,-,max,max,61,-,77,max,,-,,-,,-,,-,,max,,-,,
5,max,max,118,max,-,-,-,-,max,max,-,-,,,max,max,41,26401,226,-,149,-,max,max,355,-,191,max,,max,,16756,,-,,-,,max,,-,,
PCM_ANA_prop1,max,max,23,39,46,-,42,-,37,84,54,121,,,max,max,22,36,43,-,63,-,26,38,35,47,37,48,,max,,20,,-,,-,,21,,-,,
PCM_ANA_prop2,max,max,23,48,41,-,48,-,37,104,53,157,,,max,max,23,37,49,-,62,-,26,38,54,47,55,48,,max,,24,,-,,-,,29,,-,,
PCM_ANA_prop0,max,max,23,44,38,-,39,-,32,112,52,153,,,max,max,22,30,47,-,37,-,28,36,32,45,35,46,,max,,23,,-,,-,,30,,-,,
VREG,max,max,33,max,87,-,140,-,68,max,118,-,,,max,max,32,max,74,-,158,-,45,-,56,max,54,-,,max,,max,,-,,-,,max,,-,,
low_pass_2nd_order,76,19239,37,42006,-,-,-,-,-,max,-,-,,,36,29727,26,22439,-,-,-,-,-,max,-,-,-,max,,8015,,64170,,-,,-,,max,,-,,
4,815,857,30,36,62,76,67,68,346,375,222,231,,,206,217,21,22,75,67,56,65,72,81,79,81,72,74,,553,,19,,-,,-,,78,,-,,
2,629,580,8,12,17,18,18,21,11,14,21,23,,,157,161,8,13,14,22,14,18,10,11,14,15,16,16,,363,,8,,-,,-,,8,,-,,
3,629,580,8,12,22,27,15,21,11,14,19,22,,,159,166,8,13,15,20,14,14,10,10,13,15,17,18,,384,,8,,-,,-,,8,,-,,
1,544,576,7,12,16,26,15,19,11,14,23,22,,,182,176,8,11,15,14,14,14,10,11,14,14,17,18,,384,,7,,-,,-,,8,,-,,
capacitor,max,max,19,4910,max,-,max,-,max,max,55,-,,,max,max,14,15349,max,-,max,-,max,max,28,-,max,max,,max,,7728,,-,,-,,max,,-,,
dac_adc_formal,max,max,226,37830,-,-,-,-,max,max,max,-,,,max,max,56,33764,max,-,max,-,max,max,23524,-,42094,max,,max,,7896,,-,,-,,max,,-,,
dac_prop0,max,max,93,8829,-,-,-,-,max,max,9072,-,,,max,max,27,1151,max,-,max,-,max,max,336,-,353,max,,max,,270,,-,,-,,max,,-,,
dac_prop1,max,max,4022,max,-,-,-,-,max,max,-,-,,,max,max,3670,15297,67834,-,max,-,max,max,max,-,max,max,,max,,3635,,-,,-,,max,,-,,
adc,max,max,340,51714,1377,-,1414,-,max,max,-,-,,,max,max,65,49642,2802,-,max,-,max,max,72922,-,24701,max,,max,,20558,,-,,-,,max,,-,,
flop_rnm,max,max,23,1661,25,-,20,-,17,2011,24,2436,,,max,max,15,4400,18,-,30,-,13,3632,13,3274,16,2842,,max,,196,,-,,-,,990,,938,,
damped_oscillator,max,max,max,max,max,-,max,-,max,max,max,max,,,max,max,max,max,max,-,max,-,max,max,max,max,max,max,,max,,max,,-,,-,,max,,max,,
event_triggered_ping_pong_ball,max,max,2491,max,-,-,-,-,max,max,225,-,,,max,max,219,62350,154,-,236,-,max,max,51,-,92,max,,max,,44678,,-,,-,,max,,-,,
event_triggered_ping_pong_ball_with_invariant,max,max,3832,max,-,-,-,-,max,max,505,-,,,max,max,302,max,99,-,469,-,max,max,108,-,116,max,,max,,66710,,-,,-,,max,,-,,
forward_driving_car,max,max,26,1145,23,-,40,-,28,1062,36,923,,,max,max,16,202,23,-,40,-,20,506,19,671,22,532,,max,,268,,-,,-,,106,,122,,
short_bouncing_ball,max,max,max,max,-,-,-,-,max,max,-,-,,,max,max,max,max,max,-,-,-,max,max,max,-,max,max,,max,,max,,-,,-,,max,,-,,
short_bouncing_ball_with_invariant,max,max,max,max,-,-,-,-,max,max,max,-,,,max,max,max,max,max,-,-,-,max,max,max,-,max,max,,max,,max,,-,,-,,max,,-,,
adc_dac,82,740,31,738,41,-,42,-,74,2738,100,5123,,,33,535,23,451,31,-,31,-,50,885,37,779,39,657,,187,,103,,-,,-,,203,,378,,
dac_adc,84,448,71,378,95,490,94,402,266,1453,750,6445,,,30,32,22,27,44,49,36,40,31,35,49,40,38,39,,32,,29,,44,,44,,37,,57,,
maurice2024_adc,34,199,29,219,41,-,38,-,71,575,84,610,,,36,206,21,109,31,-,32,-,28,253,37,307,35,-,,49,,49,,-,,-,,72,,106,,
maurice2024_dac,48,341,46,371,60,-,55,-,176,938,294,729,,,16,363,13,153,42,-,28,-,18,359,25,474,20,-,,22,,13,,-,,-,,20,,47,,
rnm,21,295,17,237,28,-,30,-,55,649,115,894,,,11,289,9,161,17,-,17,-,13,559,18,615,18,507,,118,,82,,-,,-,,188,,259,,
